"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "TypeScript", "YAML", "HTML", "Markdown", "JSON with Comments", "XML", "comment", "blank", "total"
"d:\Projects\dnd-assistant-front\src\pages\Worlds.page.tsx", "TypeScript JSX", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 15, 207
"d:\Projects\dnd-assistant-front\src\store\auth.tsx", "TypeScript JSX", 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 10, 64
"d:\Projects\dnd-assistant-front\src\testing\test-article.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\Projects\dnd-assistant-front\src\theme.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\Projects\dnd-assistant-front\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Projects\dnd-assistant-front\test-utils\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\dnd-assistant-front\test-utils\render.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Projects\dnd-assistant-front\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"d:\Projects\dnd-assistant-front\vite.config.mjs", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Projects\dnd-assistant-front\vitest.setup.mjs", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"Total", "-", 10065, 104, 7396, 572, 26, 16, 24, 25, 1, 87, 689, 19005
